severity,parameter,warning
warning,alpha,R-hat 1.019 > 1.01
warning,alpha,bulk ESS 40.0 < 400
warning,alpha,tail ESS 40.0 < 400
warning,kappa_0,R-hat 1.109 > 1.01
warning,kappa_0,bulk ESS 40.0 < 400
warning,kappa_0,tail ESS 40.0 < 400
warning,delta,bulk ESS 39.4 < 400
warning,delta,tail ESS 40.0 < 400
warning,theta_0,bulk ESS 40.0 < 400
warning,theta_0,tail ESS 40.0 < 400
warning,gamma,bulk ESS 40.0 < 400
warning,gamma,tail ESS 40.0 < 400
warning,kappa_t_mean,R-hat 1.101 > 1.01
warning,kappa_t_mean,bulk ESS 40.0 < 400
warning,kappa_t_mean,tail ESS 40.0 < 400
warning,kappa_t_start,R-hat 1.055 > 1.01
warning,kappa_t_start,bulk ESS 40.0 < 400
warning,kappa_t_start,tail ESS 40.0 < 400
warning,kappa_t_mid,R-hat 1.031 > 1.01
warning,kappa_t_mid,bulk ESS 28.7 < 400
warning,kappa_t_mid,tail ESS 40.0 < 400
warning,kappa_t_end,R-hat 1.055 > 1.01
warning,kappa_t_end,bulk ESS 40.0 < 400
warning,kappa_t_end,tail ESS 40.0 < 400
warning,theta_t_mean,bulk ESS 40.0 < 400
warning,theta_t_mean,tail ESS 40.0 < 400
warning,theta_t_start,bulk ESS 38.7 < 400
warning,theta_t_start,tail ESS 40.0 < 400
warning,theta_t_mid,bulk ESS 40.0 < 400
warning,theta_t_mid,tail ESS 40.0 < 400
warning,theta_t_end,bulk ESS 36.4 < 400
warning,theta_t_end,tail ESS 24.2 < 400
warning,phi_1,bulk ESS 37.1 < 400
warning,phi_1,tail ESS 40.0 < 400
warning,rho_1,R-hat 2.593 > 1.01
warning,rho_1,bulk ESS 14.3 < 400
warning,rho_1,tail ESS 24.2 < 400
warning,rho_2,R-hat 1.525 > 1.01
warning,rho_2,bulk ESS 14.6 < 400
warning,rho_2,tail ESS 40.0 < 400
warning,n,R-hat 1.215 > 1.01
warning,n,bulk ESS 37.2 < 400
warning,n,tail ESS 24.2 < 400
warning,lambda_ez,R-hat 1.077 > 1.01
warning,lambda_ez,bulk ESS 36.1 < 400
warning,lambda_ez,tail ESS 40.0 < 400
warning,rho,R-hat 1.081 > 1.01
warning,rho,bulk ESS 36.2 < 400
warning,rho,tail ESS 40.0 < 400
warning,sigma_e,R-hat 1.217 > 1.01
warning,sigma_e,bulk ESS 40.0 < 400
warning,sigma_e,tail ESS 40.0 < 400
warning,sigma_zeta,bulk ESS 40.0 < 400
warning,sigma_zeta,tail ESS 24.2 < 400
warning,sigma_u,R-hat 1.251 > 1.01
warning,sigma_u,bulk ESS 17.1 < 400
warning,sigma_u,tail ESS 20.4 < 400
warning,sigma_eps,R-hat 1.155 > 1.01
warning,sigma_eps,bulk ESS 19.7 < 400
warning,sigma_eps,tail ESS 24.2 < 400
warning,sigma_N,bulk ESS 9.2 < 400
warning,sigma_N,tail ESS 19.8 < 400
